WARNING | app_logger | 2023-04-02 12:39:32,587 | 20 | Don't forget that you can't divide by zero!
WARNING | app_logger | 2023-04-02 12:39:43,332 | 20 | Don't forget that you can't divide by zero!
WARNING | app_logger | 2023-04-02 12:39:50,878 | 20 | Don't forget that you can't divide by zero!
WARNING | app_logger | 2023-04-02 12:47:32,708 | 18 | Don't forget that you can't divide by zero!
WARNING | app_logger | 2023-04-02 12:47:42,697 | 18 | Don't forget that you can't divide by zero!
WARNING | app_logger | 2023-04-02 12:47:50,737 | 18 | Don't forget that you can't divide by zero!
WARNING | app_logger | 2023-04-02 13:03:01,856 | 18 | Don't forget that you can't divide by zero!
WARNING | app_logger | 2023-04-02 13:05:27,056 | 18 | Don't forget that you can't divide by zero!
WARNING | app_logger | 2023-04-02 13:19:17,913 | 10 | Don't forget that you can't divide by zero!
WARNING | app_logger | 2023-04-02 13:21:02,354 | 10 | Don't forget that you can't divide by zero!
WARNING | app_logger | 2023-04-02 13:21:21,136 | 10 | Don't forget that you can't divide by zero!
WARNING | app_logger | 2023-04-02 13:21:34,268 | 10 | Don't forget that you can't divide by zero!
WARNING | app_logger | 2023-04-02 13:23:35,548 | 10 | Don't forget that you can't divide by zero!
WARNING | app_logger | 2023-04-02 13:24:14,667 | 10 | Don't forget that you can't divide by zero!
WARNING | app_logger | 2023-04-02 13:35:57,065 | 10 | Don't forget that you can't divide by zero!
WARNING | app_logger | 2023-04-02 13:36:41,326 | 10 | Don't forget that you can't divide by zero!
WARNING | app_logger | 2023-04-02 13:40:05,743 | 11 | Don't forget that you can't divide by zero!
WARNING | app_logger | 2023-04-02 13:42:17,565 | 13 | Don't forget that you can't divide by zero!
WARNING | app_logger | 2023-04-02 14:17:55,824 | 11 | Don't forget that you can't divide by zero!
WARNING | app_logger | 2023-04-02 14:19:13,982 | 11 | Don't forget that you can't divide by zero!
WARNING | app_logger | 2023-04-02 14:20:20,689 | 11 | Don't forget that you can't divide by zero!
WARNING | app_logger | 2023-04-02 14:20:33,768 | 11 | Don't forget that you can't divide by zero!
WARNING | app_logger | 2023-04-02 14:21:34,543 | 11 | Don't forget that you can't divide by zero!
WARNING | app_logger | 2023-04-02 14:22:20,770 | 11 | Don't forget that you can't divide by zero!
WARNING | app_logger | 2023-04-02 14:28:22,166 | 11 | Don't forget that you can't divide by zero!
